"participant","PE_level","recogResp","recogRT","conf","sceneResp","cornerResp","cases","scenes","old_new","corrlocation","corrAns","corrAns_scene","corrAns_corner","rt_out"
18,"medium",4,4.774,3,2,3,"old","Desert2.jpeg","Qu1_oldright.png","3",1,1,1,4.774
18,"high",1,5.654,2,3,3,"old","Desert2.jpeg","Qu1_oldright.png","3",0,0,1,5.654
18,"low",4,5.199,1,2,1,"old","Beach1.jpeg","Qu1_oldright.png","1",1,0,1,5.199
18,"high",4,5.25,2,3,1,"old","Beach3.jpg","Qu1_oldright.png","4",1,1,0,5.25
18,"medium",4,2.235,3,4,4,"old","Beach4.jpeg","Qu1_oldright.png","2",1,1,0,2.235
18,"low",4,6.22,1,1,4,"old","Savanna3.jpeg","Qu1_oldright.png","2",1,0,0,6.22
18,"new",1,1.645,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,1.645
18,"new",1,3.47,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,3.47
18,"new",4,2.548,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,2.548
18,"new",1,2.17,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,2.17
18,"low",4,1.762,2,1,2,"old","Desert2.jpeg","Qu1_oldright.png","4",1,0,0,1.762
18,"new",1,5.957,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,5.957
18,"high",4,5.233,3,3,1,"old","Savanna3.jpeg","Qu1_oldright.png","2",1,1,0,5.233
18,"new",4,2.199,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,2.199
18,"low",4,2.397,2,2,3,"old","Icy2.jpeg","Qu1_oldright.png","3",1,1,1,2.397
18,"medium",4,3.537,1,2,2,"old","Desert4.jpeg","Qu1_oldright.png","3",1,0,0,3.537
18,"high",1,2.646,1,4,4,"old","Desert3.jpeg","Qu1_oldright.png","2",0,0,0,2.646
18,"high",1,1.876,1,3,1,"old","Icy1.jpeg","Qu1_oldright.png","2",0,0,0,1.876
18,"new",1,1.739,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,1.739
18,"new",1,3.091,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,3.091
18,"high",4,4.394,2,4,2,"old","Savanna1.jpeg","Qu1_oldright.png","3",1,0,0,4.394
18,"low",1,3.369,1,2,3,"old","Desert2.jpeg","Qu1_oldright.png","3",0,1,1,3.369
18,"new",4,7.017,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,7.017
18,"new",1,1.965,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,1.965
18,"low",1,2.148,1,2,4,"old","Beach2.jpeg","Qu1_oldright.png","3",0,1,0,2.148
18,"high",1,1.443,3,2,2,"old","Desert3.jpeg","Qu1_oldright.png","4",0,0,0,1.443
18,"low",1,2.47,1,4,4,"old","Icy4.jpeg","Qu1_oldright.png","4",0,1,1,2.47
18,"new",1,1.46,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,1.46
18,"medium",4,3.794,2,3,3,"old","Beach1.jpeg","Qu1_oldright.png","3",1,0,1,3.794
18,"low",4,1.714,3,1,2,"old","Desert3.jpeg","Qu1_oldright.png","2",1,0,1,1.714
18,"medium",4,1.274,3,4,2,"old","Beach3.jpg","Qu1_oldright.png","1",1,0,0,1.274
18,"low",4,2.234,4,2,3,"old","Icy3.jpeg","Qu1_oldright.png","4",1,0,0,2.234
18,"medium",4,1.944,2,3,1,"old","Desert4.jpeg","Qu1_oldright.png","2",1,0,0,1.944
18,"low",4,2.07,3,4,2,"old","Desert1.jpeg","Qu1_oldright.png","4",1,0,0,2.07
18,"high",1,4.222,2,1,3,"old","Desert2.jpeg","Qu1_oldright.png","3",0,0,1,4.222
18,"high",1,1.195,4,3,2,"old","Icy1.jpeg","Qu1_oldright.png","4",0,0,0,1.195
18,"new",1,1.385,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,1.385
18,"new",4,2.238,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,2.238
18,"new",1,1.842,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,1.842
18,"new",4,2.451,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,2.451
18,"medium",1,1.684,3,4,1,"old","Icy4.jpeg","Qu1_oldright.png","2",0,1,0,1.684
18,"medium",4,1.596,2,3,4,"old","Icy1.jpeg","Qu1_oldright.png","1",1,0,0,1.596
18,"medium",4,2.413,1,2,3,"old","Savanna4.jpeg","Qu1_oldright.png","1",1,0,0,2.413
18,"new",1,2.152,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,2.152
18,"high",1,2.092,3,4,2,"old","Beach4.jpeg","Qu1_oldright.png","2",0,1,1,2.092
18,"medium",1,4.106,2,3,3,"old","Desert4.jpeg","Qu1_oldright.png","2",0,0,0,4.106
